id,fake-company-name,company-email,national-regon,local-regon
"224","Spółdzielnia Wasilewska","juliusz.michalak@laskowski.pl","171799513","63724083408695"
"225","Spółdzielnia Błaszczyk","tymoteusz58@szymczak.pl","093163072","57058234860390"
"226","Bąk i syn","gorski.maksymilian@szczepanska.pl","511442171","59281340580126"
"227","Grupa Wróbel","emilia.sawicki@adamska.org","559374762","25231454281045"
"228","Zakrzewski-Sobczak","maja84@wysocki.pl","457011975","17505406990000"
"229","Sobczak","konrad50@lis.com.pl","352299897","87851327786559"
"230","Krupa-Szewczyk","adamska.jozef@baran.net","554609077","47718016543663"
"231","Wróblewski i syn","kaja.wroblewska@bak.com.pl","617753414","29776052223796"
"232","Baran","marta.borowski@urbanska.pl","695683957","69265534055610"
"233","Pawlak-Kucharski","ida.nowicki@krol.pl","972470322","97539149794351"
"234","Urbański","michalak.tadeusz@zajac.info","315897609","67742459519737"
"235","Kaczmarczyk sp. k.","szewczyk.eliza@marciniak.com.pl","494523904","17885879164280"
"236","Sokołowska","maciejewska.michal@bak.pl","057685315","29240022762227"
"237","Pietrzak-Wasilewska","kazimierz78@sadowska.pl","376344857","75546554060829"
"238","Kubiak","kucharski.pola@chmielewska.net","318723181","73341089736216"
"239","Sobczak i syn","sikorska.norbert@sikora.pl","111773118","59284124182968"
"240","Stowarzyszenie Ziółkowski","przybylski.kacper@mroz.org","775691254","81023466224614"
"241","Kaczmarek-Krajewska","xmazurek@urbanska.pl","135018685","07645508100654"
"242","Zieliński","wojcik.olaf@cieslak.net","174539965","29606270913891"
"243","Malinowska","kowalska.marcin@nowak.org","494764826","29606981206332"
"244","Maciejewski s. c.","kolodziej.wojciech@szewczyk.pl","370781551","89515197001273"
"245","Lis s. c.","krol.konstanty@kaczmarek.pl","774343806","31180721367333"
"246","Pawlak sp. p.","stefan.szczepanska@lewandowska.pl","410002651","27271262316280"
"247","Jabłoński-Makowska","sszymczak@szczepanski.pl","731037419","85742156091553"
"248","Fundacja Duda","marcel.kowalczyk@czerwinska.pl","874188366","41585297013540"
"249","Laskowski S.K.A","iga75@laskowski.com.pl","113942281","07015458535084"
"250","Krupa sp. p.","maciejewski.klara@jaworski.com","915716990","39875644296881"
"251","Andrzejewski sp. k.","maciejewska.nina@jaworska.pl","192818220","03499761033885"
"252","Jakubowska s. c.","unowicki@jankowski.pl","954871294","67590519013270"
"253","Głowacki","sandra60@michalak.pl","631542675","09364286105469"
"254","Wróbel","blaszczyk.marika@kucharska.com.pl","013867111","53076360944986"
"255","Sikorski i syn","milena53@wojciechowska.org","057115658","41925224389948"
"256","Maciejewski-Walczak","tomasz28@kubiak.net","195507503","89752488914416"
"257","Wójcik","hubert21@dudek.com.pl","216111637","51431346849117"
"258","Stowarzyszenie Borkowski","wiktoria23@zielinski.pl","416665750","73563375685135"
"259","Sikorski sp. z o.o.","agata54@piotrowska.pl","412907451","67038878402362"
"260","Chmielewski s. c.","ostrowski.grzegorz@borowska.com.pl","419786884","77339940828787"
"261","Sikorska S.K.A","kazmierczak.artur@kowalczyk.com.pl","199079352","75608364467252"
"262","Michalak sp. p.","maurycy83@szymczak.org","474609640","97283422147962"
"263","Szewczyk sp. p.","iadamczyk@szymczak.pl","532228837","75169103759792"
"264","Lewandowska sp. p.","wisniewska.wiktor@pawlak.pl","558599565","87424532563779"
"265","Pawłowska sp. p.","kolodziej.ignacy@piotrowski.pl","153522518","85175532015370"
"266","Borkowski","jankowska.maurycy@krol.pl","650039591","09949794032094"
"267","Król-Urbańska","jakub.blaszczyk@kowalczyk.pl","618684916","75361813969936"
"268","Kozłowski-Jakubowska","tcieslak@kowalska.pl","577188985","29682419054826"
"269","Fundacja Zakrzewski","izabela38@kazmierczak.pl","317369926","91361617746759"
"270","Czerwiński","sikorska.olaf@kolodziej.pl","771406021","43616157600395"
"271","Zawadzki S.K.A","alicja.szymanska@sobczak.info","813784446","19609266532651"
"272","Górska sp. z o.o.","akrawczyk@wasilewska.com.pl","857736051","11917281093680"
"273","Wysocki sp. z o.o.","maciejewski.cezary@urbanska.pl","252931163","27970119576301"
"274","Grabowska-Czarnecki","mjablonska@witkowska.pl","112674230","77692644669035"
"275","Krajewski S.K.A","cwisniewska@czarnecka.com","391494559","11158414060398"
"276","Mazur i syn","lukasz16@kozlowski.com","010969466","13739697766197"
"277","Jaworski s. c.","tola97@wozniak.pl","394269225","11529649075228"
"278","Jaworska S.K.A","antoni.lis@olszewska.pl","878510793","23256653278866"
"279","Grupa Stępień","piotr17@szczepanska.info","613033798","83887299082128"
"280","Lis","qkolodziej@piotrowska.com.pl","551628298","39680983243800"
"281","Błaszczyk S.A.","bartek44@krupa.pl","196187153","83615897561870"
"282","Kaczmarek sp. p.","klaudia.kucharska@zielinski.pl","436716324","11949162684507"
"283","Cieślak i syn","franciszek.krol@kaczmarczyk.pl","692269766","55365843580340"
"284","Ostrowska sp. k.","rszewczyk@adamska.com","394895780","45505871958099"
"285","Sikorski s. c.","nwroblewski@witkowski.com.pl","751932742","91096517327349"
"286","Rutkowska-Sikorski","patryk75@borowski.pl","150768650","79267654023551"
"287","Jasińska","elaskowska@mroz.net","538797223","83361197793491"
"288","Jasiński-Kozłowski","marciniak.natalia@jaworska.pl","512213426","53697855835169"
"289","Baran s. c.","adamska.kajetan@adamska.pl","550733580","87872873009155"
"290","Chmielewska","wozniak.sandra@walczak.pl","230463704","97719351962360"
"291","Wiśniewska S.A.","mkolodziej@kalinowska.pl","755784451","01670605899587"
"292","Maciejewski P.P.O.F","kamil78@wojciechowska.pl","990382851","05695984589894"
"293","Czerwiński s. c.","kaczmarek.dominika@laskowski.com.pl","638483094","45832972219095"
"294","Malinowski S.K.A","dominika.kolodziej@kaminska.pl","990915402","59457357215981"
"295","Lis","juliusz47@wieczorek.pl","772373401","73973468489973"
"296","Gajewska S.A.","krawczyk.witold@szymczak.pl","998860379","55398144952604"
"297","Kalinowska sp. k.","hbrzezinska@urbanski.net","099830569","69037670750559"
"298","Borkowska","wasilewska.elzbieta@czerwinska.pl","332567273","59160552122149"
"299","Jaworska","zlaskowska@lewandowski.net","431380486","65186970074646"
"300","Szewczyk sp. k.","xsikora@pawlak.pl","675319730","99533682117337"
"301","Adamczyk P.P.O.F","malinowski.gabriel@wasilewska.pl","031648286","77720868792258"
"302","Sokołowski sp. p.","usadowska@laskowska.com.pl","658023075","13028302302027"
"303","Górska","mroz.karol@szymczak.net","272855794","17272205672537"
"304","Grabowska P.P.O.F","olaf.pawlowska@adamczyk.pl","559189102","53047094226981"
"305","Nowakowska-Walczak","leonard.wozniak@szczepanska.com","674506654","61117866007364"
"306","Kaźmierczak S.A.","gabriela.wlodarczyk@kowalska.pl","577147408","57196051687476"
"307","Pietrzak","sandra89@adamski.com.pl","711673190","47314696422705"
"308","Makowski","rafal25@majewska.com","270859204","15137992744860"
"309","Wróblewska i syn","kamila.sokolowski@walczak.org","530080537","09288981057585"
"310","Grabowski","albert.wisniewska@zakrzewski.pl","913460373","77041711760132"
"311","Olszewski sp. p.","angelika.zielinska@witkowski.com.pl","318753644","17712756571494"
"312","Lewandowski S.A.","dsawicka@kwiatkowski.pl","512151932","47975358292556"
"313","Walczak-Wróblewska","robert19@jablonska.com.pl","377422499","55061308251030"
"314","Marciniak","cwojciechowska@wilk.com","350226990","93018508689785"
"315","Duda s. c.","adrian27@wasilewska.com.pl","996975629","39665766486674"
"316","Olszewska-Baranowska","norbert.zalewska@lewandowski.com.pl","892363520","41282842109863"
"317","Spółdzielnia Stępień","ryszard.kolodziej@jankowski.net","571617422","15656361848652"
"318","Pietrzak","damian95@malinowska.com.pl","579826303","49300400715454"
"319","Wójcik P.P.O.F","aleksander.kaczmarek@kazmierczak.pl","990666063","25489140420044"
"320","Jasiński","magdalena77@wrobel.net","432722240","07356843613410"
"321","Laskowska-Makowska","wmakowski@maciejewska.pl","334153995","37799944880226"
"322","Spółdzielnia Brzeziński","karol81@lis.com.pl","792039394","65619677178472"
"323","Baranowska sp. z o.o.","kaczmarek.nicole@krajewska.org","779546968","45961769947835"
"324","Stowarzyszenie Andrzejewska","iszymczak@pawlak.com.pl","871273195","17632371022421"
"325","Szewczyk sp. k.","norbert62@szewczyk.pl","238115440","23640506201630"
"326","Szulc sp. p.","agnieszka08@cieslak.pl","799488244","53139656746950"
"327","Borowski sp. p.","roza.wieczorek@witkowska.pl","350425866","85156832249960"
"328","Wojciechowska S.A.","ulaskowski@olszewska.pl","437910583","11706555270548"
"329","Sawicka","kalinowski.maria@gajewski.pl","393073448","07968327977454"
"330","Adamczyk-Pietrzak","duda.kazimierz@malinowski.info","871592078","47505476939334"
"331","Fundacja Walczak","qlewandowski@olszewski.pl","259381033","53294061348896"
"332","Krawczyk s. c.","emajewska@kazmierczak.net","938879316","81050819055871"
"333","Włodarczyk","nina.sikora@borkowska.com.pl","835367949","65013686812926"
"334","Piotrowski-Ostrowska","pawlowska.tadeusz@majewski.pl","793446925","99396815561722"
"335","Szczepański","iduda@pietrzak.pl","430276953","31519740995396"
"336","Mróz S.K.A","alicja02@borkowski.org","375011600","01004121529099"
"337","Kalinowski S.A.","lis.dawid@nowak.com.pl","033940080","59444424823931"
"338","Jakubowska-Baranowski","gustaw17@pietrzak.pl","655747890","23506429760130"
"339","Szymczak","gabriel.chmielewski@olszewska.pl","037384500","37204298778397"
"340","Sobczak s. c.","gkrol@wroblewski.net","851967743","43915178509537"
"341","Duda s. c.","blazej48@baranowski.pl","790315447","35332697572152"
"342","Pietrzak-Jaworski","zawadzka.leon@kozlowska.pl","199264718","45202035052549"
"343","Kubiak sp. p.","jkaminska@szymanski.net","275832612","63825765304177"
"344","Stępień-Wieczorek","jeremi67@wojciechowski.org","955709236","97641605882635"
"345","Andrzejewska-Krupa","dsawicki@kaminska.pl","671104004","27586597115320"
"346","Kalinowski","nikola33@kowalska.pl","713210228","29168880663975"
